Symbol,Name,Current Price,% Change,Avg Stock Volume,Avg Option Volume,Date,Implied Move,Actual Move,Straddle Return,Avg Straddle Return,Max Return,Min Return,EtfHoldingsList,MarketCap
FLNC,Fluence Energy - Class A,22.43,0.0394,1909537,1315.0,2/7/2024,0.1518,0.0667,-0.3432,-0.0132,0.502,-0.2792,IWM,2842535936.0
GPRO,Gopro - Class A,2.57,-0.0039,1528757,782.0,2/7/2024,0.1437,-0.1103,0.128,0.2224,0.3664,0.1369,IWM,390743584.0
UVV,Universal,51.97,-0.03,164862,35.0,2/7/2024,0.045,-0.0597,0.2738,-0.0114,0.6555,-0.4314,IWM,1276340608.0
RM,Regional Mgmt,22.55,-0.0217,22162,7.0,2/7/2024,0.0749,-0.0124,0.7958,0.0949,0.481,-0.5827,IWM,221828400.0
NTGR,Netgear,12.86,-0.0258,242823,586.0,2/7/2024,0.1064,-0.0782,-0.2665,0.0486,0.6296,-0.4037,IWM,373625952.0
TTGT,Techtarget,35.03,0.0438,184099,27.0,2/7/2024,0.066,0.0048,-0.7091,0.0592,0.5109,-0.2123,IWM,994298496.0
RPD,Rapid7,61.47,0.0467,705726,1029.0,2/7/2024,0.1091,0.0305,-0.3315,-0.3082,-0.0805,-0.4419,IWM,3777145088.0
PYCR,Paycor Hcm,20.02,-0.0225,693529,105.0,2/7/2024,0.0886,0.0454,-0.4618,0.2082,1.0486,-0.319,,3555329792.0
PDM,Piedmont Office Realty Trust Class A,6.62,0.0,1034562,55.0,2/7/2024,0.0483,0.0541,-0.0829,0.1439,0.9227,-0.2161,VNQ - IWM,818516672.0
BKH,Black Hills,51.62,0.0072,554164,44.0,2/7/2024,0.0408,0.0328,0.3397,0.2515,1.1546,-0.1496,IWM,3509728512.0
PFLT,Pennantpark Floating Rate Capital Ltd.,11.38,0.0071,525918,106.0,2/7/2024,,0.0135,,,,,,668400896.0
MMS,Maximus,82.57,0.0476,329525,55.0,2/7/2024,0.0528,0.011,-0.3174,0.0477,0.757,-0.4428,IWM,5036594176.0
RMR,RMR Group - Class A,25.95,0.0129,73758,21.0,2/7/2024,0.0313,0.0364,0.6102,-0.1215,0.211,-0.412,VNQ - IWM,433651776.0
NFG,National Fuel Gas Company,47.68,-0.0226,427455,89.0,2/7/2024,0.049,0.0648,0.3093,-0.0554,0.223,-0.2819,,4392483328.0
CPA,Copa Holdings S.A. Class A,99.11,-0.0102,302652,232.0,2/7/2024,0.064,-0.0074,-0.3691,-0.1262,0.6015,-0.5726,,4198239488.0
STC,Stewart Information Servs,60.37,0.0102,200947,13.0,2/7/2024,0.0458,0.0025,-0.2217,0.2648,1.0072,-0.0605,IWM,1650902144.0
QNST,Quinstreet,15.36,0.0456,400345,126.0,2/7/2024,0.1143,0.1379,0.7282,0.2199,0.8018,-0.2767,IWM,840664128.0
RDN,Radian Group,27.5,0.0077,1124325,263.0,2/7/2024,0.0501,-0.0371,-0.3408,-0.2184,0.1377,-0.53,KBE - IWM,4211908352.0
CUZ,Cousins Props,22.88,-0.0009,1608844,39.0,2/7/2024,0.0476,0.0423,0.7938,-0.0804,0.1465,-0.2913,VNQ - IYR,3472600320.0
MC,Moelis Class A,54.17,-0.019,598984,92.0,2/7/2024,0.0604,0.0097,-0.4677,-0.0044,0.1889,-0.3195,IWM,3606419200.0
CXW,Corecivic,14.84,-0.0107,943152,1098.0,2/7/2024,0.0699,0.0601,-0.0685,0.2295,0.9135,-0.1277,IWM,1685899776.0
MAT,Mattel,18.89,0.0011,2951265,2193.0,2/7/2024,0.0914,0.0032,-0.6365,-0.052,0.2487,-0.4002,,6719399424.0
UTI,Universal Technical Institute,15.8,-0.0247,317722,393.0,2/7/2024,0.1153,0.102,-0.1922,0.104,1.0755,-0.4827,IWM,848965952.0
RRR,Red Rock Resorts - Class A,58.86,0.0164,422715,247.0,2/7/2024,0.0601,0.0483,-0.0276,-0.0243,0.0562,-0.0729,IWM,3436884992.0
INTR,Inter & Co. - Class A Common Shares,5.56,0.0128,771111,166.0,2/7/2024,0.0727,0.0378,0.0211,0.4196,1.3142,0.0918,,2414099200.0
NVST,Envista Holdings,21.94,-0.0223,2422270,231.0,2/7/2024,0.0905,-0.0743,0.3279,0.0553,0.5742,-0.375,,3581299200.0
HMN,Horace Mann Educators,37.38,0.0095,190265,2.0,2/7/2024,0.0333,0.0335,0.1024,-0.071,0.3564,-0.306,IWM,1526440704.0
NYT,New York Times Company,43.9,0.0037,1230362,310.0,2/7/2024,0.0566,-0.0734,0.391,0.4085,1.1864,-0.0106,,7214491136.0
MSGE,Madison Square Garden Entertainment Corp. Class A,36.81,-0.0041,485058,305.0,2/7/2024,0.0707,0.0405,0.5883,0.3692,0.5475,0.1418,IWM,1765761280.0
PFGC,Performance Food Group Company,71.71,-0.0119,869065,370.0,2/7/2024,0.0581,-0.0106,-0.3464,-0.1912,0.4095,-0.4588,,11158139904.0
REYN,Reynolds Consumer Prods,28.43,-0.0028,302659,12.0,2/7/2024,0.0256,0.0201,-0.1538,-0.0402,0.4659,-0.5749,,5969563648.0
EEFT,Euronet Worldwide,103.9,0.0278,379952,128.0,2/7/2024,0.0742,0.0058,-0.4013,0.2394,0.3957,0.1243,,4792017920.0
ADNT,Adient PLC Ordinary Shares,34.13,0.0152,897358,111.0,2/7/2024,0.083,-0.0767,-0.0395,-0.1311,0.1451,-0.3321,IWM,3114221056.0
VSH,Vishay Intertechnology,22.3,0.0206,1198555,354.0,2/7/2024,0.0692,-0.0181,-0.1391,0.4029,1.1095,-0.2751,IWM,3084886016.0
MCFT,Mastercraft Boat Hldgs,21.66,0.0251,118425,140.0,2/7/2024,0.1106,0.0229,-0.5147,0.1544,0.4216,0.0209,IWM,368952096.0
EPC,Edgewell Personal Care Company,39.45,-0.0005,356944,31.0,2/7/2024,0.069,0.0163,-0.0996,-0.3031,-0.2213,-0.3795,IWM,1969861632.0
CFBK,CF Bankshares,21.76,0.0074,3178,,2/7/2024,,-0.0005,,,,,,142510352.0
MAC,Macerich Company,16.93,-0.0117,1814145,1015.0,2/7/2024,0.0676,0.0211,-0.1818,-0.0985,0.0537,-0.2629,VNQ - IWM,3644282624.0
SMG,Scotts Miracle Gro,55.78,-0.0326,710362,764.0,2/7/2024,0.1208,0.0368,-0.4517,0.2708,0.7508,-0.0774,,3162297088.0
NHTC,Natural Health Trends Corp. - Commn Stock,6.24,0.013,17653,17.0,2/7/2024,0.0533,0.0301,-0.246,0.0348,0.6475,-0.3144,,71276648.0
KMT,Kennametal,24.58,0.0332,669097,258.0,2/7/2024,0.07,-0.0243,-0.3416,0.0746,0.4994,-0.268,IWM,1948451072.0
GGR,Gogoro -,2.05,-0.0144,179526,47.0,2/7/2024,0.0639,0.0047,-0.2405,-0.2084,0.0285,-0.456,,501010144.0
MHH,Mastech Digital,8.51,0.0,10464,,2/7/2024,,0.0094,,,,,,98682216.0
GPRE,Green Plains,24.71,0.0457,1189379,1458.0,2/7/2024,0.0949,0.1304,0.4762,-0.0667,0.1683,-0.2556,XOP - IWM,1586705408.0
FLNG,Flex Lng Ltd.,25.9,-0.0103,301412,714.0,2/7/2024,0.0477,-0.0566,0.5963,,,,IWM,1391770624.0
DAY,Dayforce,70.69,0.0101,2173372,640.0,2/7/2024,0.0768,-0.0272,-0.4543,,,,SPY - XLI,11005987840.0
OMF,Onemain Holdings,44.78,0.0198,1020661,1597.0,2/7/2024,0.0694,-0.0542,0.0219,0.0524,0.2229,-0.1575,,5369305088.0
CDAY,Ceridian Hcm Holding,69.52,0.0,1174287,530.0,2/7/2024,,0.0,,-0.078,0.1987,-0.2786,,10853949440.0
VOYA,Voya Financial,69.82,0.0088,606245,225.0,2/6/2024,0.0444,-0.0417,0.1178,0.1899,0.6461,-0.1764,KBE,6792965632.0
SNEX,Stonex Group,66.27,0.0514,118963,40.0,2/6/2024,0.0491,-0.0221,0.0221,0.6466,1.1491,0.1075,IWM,2090818432.0
ZWS,Zurn Elkay Water Solutions,32.21,-0.0313,1277398,44.0,2/6/2024,0.048,0.0417,0.1157,0.4117,0.6731,0.2121,IWM,5539994112.0
FRSH,Freshworks - Class A,21.71,0.0164,2341631,907.0,2/6/2024,0.1243,-0.0307,-0.3331,-0.1376,0.4224,-0.3809,IWM,6320084480.0
AAT,American Assets Trust,22.26,0.0036,346554,14.0,2/6/2024,0.0495,-0.0083,0.0561,0.0635,0.485,-0.2711,VNQ - IWM,1351579136.0
ACT,Enact Holdings,27.16,0.0138,284635,18.0,2/6/2024,0.0329,-0.0486,-0.1533,0.3817,1.4497,-0.1639,IWM,4345431552.0
ATEN,A10 Networks,13.24,0.0466,773224,92.0,2/6/2024,0.1043,-0.0061,-0.4753,-0.1304,0.1688,-0.4339,IWM,980930496.0
AOSL,Alpha & Omega,23.47,0.0431,143859,136.0,2/6/2024,0.1031,-0.1064,0.2016,0.0757,0.4123,-0.3341,IWM,663694272.0
GENC,Gencor Industries,16.59,0.0073,16977,57.0,2/6/2024,0.0581,0.0244,0.0849,-0.0471,0.3704,-0.7067,IWM,243171248.0
DOX,Amdocs Limited -,89.76,0.0029,668054,58.0,2/6/2024,0.0416,-0.0189,-0.1299,0.1936,0.7655,-0.5214,,10493850624.0
DEI,Douglas Emmett,13.32,-0.0227,2136284,115.0,2/6/2024,0.0686,0.0275,0.1732,-0.117,0.0806,-0.5255,VNQ - IYR - IWM,2340603648.0
REXR,Rexford Industrial Realty,52.66,-0.0087,1513194,52.0,2/6/2024,0.0522,-0.0261,-0.1179,-0.14,0.3802,-0.4576,VNQ - IYR,11116383232.0
MODN,Model N,27.72,-0.0153,339321,42.0,2/6/2024,0.0999,-0.0059,-0.1024,0.1808,0.553,-0.5323,IWM,1074534144.0
EPM,Evolution Petroleum,5.5,-0.0036,383560,123.0,2/6/2024,0.0846,0.0373,-0.3578,-0.0087,0.2168,-0.2352,IWM,183921104.0
