date,symbol,when,security_name,exchange_codes,before_eps_date,after_eps_date
2023-01-24,TRMK,postmarket,Trustmark Corporation - Common Stock,,2023-01-24,2023-01-25
2023-01-24,TXN,premarket,Texas Instruments Incorporated - Common Stock,,2023-01-23,2023-01-24
2023-01-24,UMBF,premarket,UMB Financial Corporation - Common Stock,,2023-01-23,2023-01-24
2023-01-24,UNP,premarket,Union Pacific Corporation Common Stock,,2023-01-23,2023-01-24
2023-01-24,VBTX,postmarket,"Veritex Holdings, Inc. - Common Stock",,2023-01-24,2023-01-25
2023-01-24,WAL,postmarket,Western Alliance Bancorporation Common Stock (DE),,2023-01-24,2023-01-25
2023-01-25,ABT,premarket,Abbott Laboratories Common Stock,,2023-01-24,2023-01-25
2023-01-25,ADP,premarket,"Automatic Data Processing, Inc. - Common Stock",,2023-01-24,2023-01-25
2023-01-25,ALRS,premarket,Alerus Financial Corporation - Common Stock,,2023-01-24,2023-01-25
2023-01-25,AMP,postmarket,"Ameriprise Financial, Inc. Common Stock",,2023-01-25,2023-01-26
2023-01-25,AXS,postmarket,Axis Capital Holdings Limited Common Stock,,2023-01-25,2023-01-26
2023-01-25,AXTA,postmarket,Axalta Coating Systems Ltd. Common Shares,,2023-01-25,2023-01-26
2023-01-25,BA,premarket,Boeing Company (The) Common Stock,,2023-01-24,2023-01-25
2023-01-25,BFST,postmarket,"Business First Bancshares, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-25,BLFY,premarket,Blue Foundry Bancorp - Common Stock,,2023-01-24,2023-01-25
2023-01-25,BOKF,premarket,BOK Financial Corporation - Common Stock,,2023-01-24,2023-01-25
2023-01-25,BOOT,postmarket,"Boot Barn Holdings, Inc. Common Stock",,2023-01-25,2023-01-26
2023-01-25,BPOP,premarket,"Popular, Inc. - Common Stock",,2023-01-24,2023-01-25
2023-01-25,BRKL,premarket,"Brookline Bancorp, Inc. - Common Stock",,2023-01-24,2023-01-25
2023-01-25,BWB,postmarket,"Bridgewater Bancshares, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-25,CACI,postmarket,"CACI International, Inc. Class A Common Stock",,2023-01-25,2023-01-26
2023-01-25,CALX,postmarket,"Calix, Inc Common Stock",,2023-01-25,2023-01-26
2023-01-25,CASH,postmarket,"Pathward Financial, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-25,CATY,postmarket,Cathay General Bancorp - Common Stock,,2023-01-25,2023-01-26
2023-01-25,CCI,postmarket,Crown Castle Inc. Common Stock,,2023-01-25,2023-01-26
2023-01-25,CNS,postmarket,Cohen & Steers Inc Common Stock,,2023-01-25,2023-01-26
2023-01-25,CPF,premarket,Central Pacific Financial Corp New,,2023-01-24,2023-01-25
2023-01-25,CSX,postmarket,CSX Corporation - Common Stock,,2023-01-25,2023-01-26
2023-01-25,CUBI,postmarket,"Customers Bancorp, Inc Common Stock",,2023-01-25,2023-01-26
2023-01-25,CVLG,premarket,"Covenant Logistics Group, Inc. - Class A Common Stock",,2023-01-24,2023-01-25
2023-01-25,ELV,premarket,"Elevance Health, Inc. Common Stock",,2023-01-24,2023-01-25
2023-01-25,ETD,postmarket,Ethan Allen Interiors Inc. Common Stock,,2023-01-25,2023-01-26
2023-01-25,FLEX,postmarket,Flex Ltd. - Ordinary Shares,,2023-01-25,2023-01-26
2023-01-25,FRBA,postmarket,First Bank  - Common Stock,,2023-01-25,2023-01-26
2023-01-25,GD,premarket,General Dynamics Corporation Common Stock,,2023-01-24,2023-01-25
2023-01-25,GPI,premarket,"Group 1 Automotive, Inc. Common Stock",,2023-01-24,2023-01-25
2023-01-25,HBNC,postmarket,"Horizon Bancorp, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-25,HES,premarket,Hess Corporation Common Stock,,2023-01-24,2023-01-25
2023-01-25,HESM,premarket,Hess Midstream LP Class A Share,,2023-01-24,2023-01-25
2023-01-25,HXL,postmarket,Hexcel Corporation Common Stock,,2023-01-25,2023-01-26
2023-01-25,IBM,premarket,International Business Machines Corporation Common Stock,,2023-01-24,2023-01-25
2023-01-25,INBK,postmarket,First Internet Bancorp - Common Stock,,2023-01-25,2023-01-26
2023-01-25,LBRT,postmarket,Liberty Energy Inc. Class A common stock,,2023-01-25,2023-01-26
2023-01-25,LEVI,premarket,Levi Strauss & Co Class A Common Stock,,2023-01-24,2023-01-25
2023-01-25,LVS,postmarket,Las Vegas Sands Corp. Common Stock,,2023-01-25,2023-01-26
2023-01-25,MKTX,premarket,"MarketAxess Holdings, Inc. - Common Stock",,2023-01-24,2023-01-25
2023-01-25,MNRO,premarket,"Monro, Inc.  - Common Stock",,2023-01-24,2023-01-25
2023-01-25,MPX,premarket,Marine Products Corporation Common Stock,,2023-01-24,2023-01-25
2023-01-25,NOW,premarket,"ServiceNow, Inc. Common Stock",,2023-01-24,2023-01-25
2023-01-25,NSC,premarket,Norfolk Southern Corporation Common Stock,,2023-01-24,2023-01-25
2023-01-25,PKG,postmarket,Packaging Corporation of America Common Stock,,2023-01-25,2023-01-26
2023-01-25,PLXS,postmarket,Plexus Corp. - Common Stock,,2023-01-25,2023-01-26
2023-01-25,RES,premarket,"RPC, Inc. Common Stock",,2023-01-24,2023-01-25
